mean_aX,mean_aY,mean_aZ,mean_gX,mean_gY,mean_gZ,std_aX,std_aY,std_aZ,std_gX,std_gY,std_gZ,rms_aX,rms_aY,rms_aZ,rms_gX,rms_gY,rms_gZ,sma_acc,sma_gyro,label
-0.715875,4.83375,8.5915,-0.107125,0.163375,0.189375,0.13712500813908,0.687869952410026,0.496164719192557,0.11793150251614,0.229723397340615,0.222277135576289,0.72727565269298,4.87638785372944,8.6040269205762,0.153769714183255,0.269940039638435,0.281236777466959,14.141125,0.488125,aerobic
-1.534875,5.36275,8.062,-0.1135,0.617125,0.637125,1.19585228871653,0.841013971346493,1.54127655810741,0.315875201396284,0.260731628581684,0.245603884043276,1.89924883177534,5.42014566224931,8.18989839680567,0.316523695795433,0.663571115254424,0.677280868620988,14.959625,1.54325,aerobic
-1.6811,4.8534,6.8409,0.1008,0.4687,0.375,1.73481798276745,2.73224186337886,2.53736961131886,2.62726726636041,1.25693702220031,1.04051482983719,2.35260096488971,5.50219252662064,7.25205714952661,2.4944820304023,1.28124209265853,1.05594933590585,13.6512,3.7581,aerobic
-2.578,6.2362,7.6196,0.3633,0.1224,-0.0885,3.84570195875286,7.62250667140118,6.09754081941601,3.05036256679249,1.44210203060209,1.50806036203978,4.46727715728496,9.54895479097058,9.56662468167326,2.91654375931512,1.3735625941325,1.4334063275987,18.4198,4.6476,aerobic
-3.1308,8.444,9.246,1.2383,0.4383,-0.4524,4.99372641532464,11.7184836239355,8.45480365761908,4.28303114498236,1.53184696436107,1.9400116952683,5.67851052653775,13.960362051179,12.2402553241344,4.247741411621,1.51789541800481,1.89524315062738,23.954,5.7514,aerobic
-2.0568,7.5587,8.0068,0.8332,0.5054,-0.1363,5.4036008940541,11.5317095008117,9.55967460859533,4.19170688648696,1.41333515723153,1.88765068861329,5.5235349731852,13.297226677018,12.0978298467122,4.06295313780506,1.43289699560017,1.79596222120623,21.0939,5.3733,aerobic
-1.174,4.2952,6.2948,-0.3699,-0.0387,0.1425,4.61844815206724,7.50747554552572,8.05668131015081,2.24968898838138,1.24411378990116,1.51782982869915,4.53600407848141,8.31713371300474,9.9016972989483,2.16606013305264,1.18090427215757,1.44697370397668,16.3674,3.8517,aerobic
-1.8038,7.1848,8.4705,-0.0913,-0.0365,0.1498,4.08239501600062,10.3300951141152,9.03107779036121,2.24287994675497,1.2503733886768,1.48799266724597,4.27235866940031,12.1515895914897,12.0479749211226,2.12974061800962,1.18676977548301,1.41955979092112,21.5907,3.764,aerobic
-1.8886,7.2642,7.319,0.2017,0.1716,0.1676,3.49970459705768,10.6578667325544,9.52629517586862,1.59510738405496,1.06875765884195,1.12092592678256,3.81967917500934,12.4498880557216,11.6294037164422,1.52663476313099,1.02833126958194,1.07653016678586,20.0422,3.1125,aerobic
-0.4499,5.1065,5.3719,-0.1238,-0.1361,0.0141,2.43997233363186,10.3174352998537,7.58896172740382,1.9373871178586,1.11967231813598,1.17548528512932,2.35807728880968,11.0399667707833,8.98278440685292,1.84213148282092,1.0708980810516,1.11525239295865,15.5225,3.4124,aerobic
-0.00744444444444443,5.907,6.26144444444444,-0.864888888888889,-0.154,0.356333333333333,2.60130895469527,10.6444647587373,7.53758396489072,1.87914258668977,0.839185766085198,1.4049453726035,2.45254890086031,11.6450794615866,9.47143398153979,1.9715112646563,0.806040114799919,1.37168724164399,16.1976666666667,3.53233333333333,aerobic
-0.831111111111111,5.04422222222222,4.80277777777778,-0.780222222222222,-0.153777777777778,0.104333333333333,4.14732294511907,7.2231754751248,5.36213035504028,1.91114283726896,0.935387055953013,1.51544020007389,3.9974854874311,8.47474491258193,6.97311985810911,1.96351317795425,0.895198302053796,1.43257503196943,13.5285555555556,3.73144444444444,aerobic
-0.4388,6.2217,5.954,-0.348,-0.1011,0.1285,3.87973953306719,7.82852438273722,6.55061291449552,1.98211082771205,1.17076446535302,1.49311458591317,3.70670829712833,9.68848623366932,8.60636930418397,1.91232607052249,1.11527651279851,1.42230949515216,15.3977,3.8182,aerobic
-1.018,8.4304,8.5547,-0.2604,-0.0334,0.0633,3.34475396869652,9.99632178131314,8.65575921376436,2.00718067613921,1.25383077008024,1.38044413545464,3.33241131915014,12.68879223567,11.8580286262093,1.92190140225767,1.18995714208538,1.31113321214894,20.7811,3.9337,aerobic
-1.0821,7.7626,7.6646,0.409,-0.0472,-0.3309,3.32533538659386,9.45338703792926,8.29439809885095,2.85471617581231,1.11902395962831,1.24305023139766,3.33511773405378,11.8611901848002,10.9846906647388,2.73893136095084,1.06264810732434,1.22480663780043,19.1495,3.9817,aerobic
-1.2396,6.2768,5.6629,0.4121,0.2261,0.0259,5.14737670404385,8.72372573057075,7.05699674003672,2.97412786282709,0.830656025881552,1.44592196270138,5.03810940730747,10.3870722439001,8.76866689411794,2.85144161784877,0.819824188469699,1.37196650833758,15.5253,3.9269,aerobic
-1.5305,6.7849,5.9662,-0.8933,-0.126,-0.0797,5.1329313100151,8.51215630665279,6.56831858748239,2.54263778387721,1.16469213862625,1.54306448702286,5.10438200960704,10.5473215794343,8.62693865748447,2.57225408931544,1.11208497876736,1.46604750946209,16.2738,4.324,aerobic
-0.0601,6.7271,6.6247,-1.1082,-0.2883,0.136,1.93064125501232,7.38423349591698,6.62072157950577,1.96645201088435,1.29317525236657,1.52232329753644,1.83255289146043,9.71226483885196,9.12892156281343,2.16987266907531,1.26023366880908,1.45059208601178,15.7747,3.9757,aerobic
0.402,7.83433333333334,7.79488888888889,-0.403555555555556,-0.0273333333333333,0.646333333333333,2.8126387076907,9.69755175289104,8.0329897523345,0.893305674323061,1.04260035488197,1.23475989568823,2.68207896146917,12.0403538569263,10.8682720184336,0.933908989141876,0.983352994153733,1.33153115706026,19.9752222222222,2.813,aerobic
0.469,7.20366666666667,7.92955555555556,-0.192444444444445,-0.100555555555556,-0.0363333333333334,2.88090454545096,9.22961017595001,8.49929239865165,1.71213617384184,1.03198014892622,1.60245499156763,2.75633688071687,11.2966118470195,11.2733926274806,1.62564845181512,0.978142627636686,1.51124588042817,20.5868888888889,3.33222222222222,aerobic
0.4513,7.0224,7.5937,-0.2455,-0.0097,-0.0609000000000001,1.9645866429806,8.61573408492986,8.45417954557915,1.69262348966856,1.2760139367055,1.6512780538453,1.91763195113139,10.7759866462427,11.0449135940486,1.62442208184942,1.21057197225113,1.56772322174547,19.2358,3.5367,aerobic
0.1769,8.3625,6.9568,-0.2318,-0.0632,0.1017,1.88175405465811,9.91263701040243,7.57243654901703,1.25669556111786,1.18674801219317,1.39308810042852,1.79393202212347,12.5843450961899,10.0002340972599,1.2145314322816,1.12762050353831,1.32550665784824,18.3468,3.1095,aerobic
-0.00718181818181819,7.34918181818182,5.61045454545455,-0.0424545454545454,-0.190545454545455,-0.224454545454545,2.04594045945535,8.30977680588573,5.93435198422939,1.61107730190928,0.890594561361831,1.22342636587875,1.95074090819593,10.8067281778108,7.96820121711065,1.53668849981203,0.870264849968623,1.18788961072682,15.2246363636364,3.08654545454545,aerobic
0.1025,7.6913,5.9548,0.1451,0.1085,-0.1332,3.05581141252023,8.96304736186924,6.90868390425332,1.54664277639595,0.984537595918905,1.05583992894546,2.90080873206077,11.4655436809599,8.85531281209196,1.4744312462777,0.940295219598611,1.01047533369202,17.0568,2.9246,aerobic
-0.120666666666667,7.26533333333333,6.46066666666667,0.154,0.122444444444444,-0.0197777777777777,3.23503844644851,9.17369932197475,7.10404087474164,1.13985273171581,1.10268729827534,0.947957907527779,3.05240950361805,11.2956220132699,9.30591865427589,1.08564154100493,1.04680933210293,0.893962092161755,17.744,2.74688888888889,aerobic
-0.1053,6.8966,6.0294,0.304,0.0773,-0.0916,3.45042161835977,6.89570671907931,4.69623476130967,1.80302209267293,1.04887951325847,1.00525908213864,3.27505061029597,9.5057238335647,7.49685422027133,1.73730129799065,0.998052453531376,0.958061480281929,16.1767,3.1915,aerobic
-0.229111111111111,6.67166666666667,5.455,0.54,0.426333333333333,0.000444444444444445,3.53314012050345,7.57868359281478,5.04317015873944,2.06777646277348,0.867669724030982,1.15816094640502,3.33894627423417,9.77577382557969,7.23634151733841,2.02292406624119,0.922475353479852,1.09192470232867,15.8004444444444,3.37811111111111,aerobic
0.791333333333333,5.62811111111111,5.14155555555556,0.325,0.185666666666667,-0.113333333333333,2.1487375363222,8.11123232691008,5.9274413348238,1.44169015395126,1.06817180266098,1.16522937656068,2.17491915558564,9.49512992714335,7.59383396066982,1.39755298051034,1.02405387228082,1.10441920382515,14.2887777777778,2.88866666666667,aerobic
1.271,7.29,5.5448,-0.023,0.1189,0.1194,1.94718651734582,8.57183989066006,5.99874588374752,1.32537382567251,1.14679887319249,1.1381618904571,2.24228071391608,10.9212130828036,7.94551848528465,1.25757035588471,1.09442683629377,1.08633678019296,15.7176,3.0419,aerobic
0.5755,7.8457,6.3531,-0.1698,0.1761,0.1854,2.43992669516479,8.41596579326065,6.31157544076314,1.2948794710105,1.14165362036341,1.08638924884224,2.38518726728112,11.1937768737813,8.73007821843539,1.24011031767339,1.0972907089737,1.04718221910038,17.0971,2.9617,aerobic
-0.0185,8.6546,7.2414,-0.0594,0.0267,-0.0386,3.75359209439586,9.67682565261518,5.82366360826432,1.3354319484305,1.05443171108106,1.20999276398204,3.56101818304821,12.6166144587207,9.10831630983466,1.26829373569375,1.00067802014434,1.14854873644961,19.4549,2.9389,aerobic
-0.4968,6.9589,6.0334,-0.2276,0.2594,0.0733,3.48150838319,9.21449053815661,5.98651783779371,1.50518793215701,0.932565183899883,1.2595756825217,3.340003113771,11.1732914353829,8.28592009374939,1.44597143816882,0.921953578007049,1.19718448870673,16.8557,3.1393,aerobic
-0.7393,5.8586,6.4337,-0.3227,-0.0757,-0.032,2.41333711095469,7.05977093112801,7.25473091697947,1.63698374728917,1.01696280386475,0.915073160402429,2.40589710918817,8.89828764426055,9.42127933457023,1.58615242016649,0.967740926074742,0.86870420742621,15.0126,2.9134,aerobic
0.3219,7.5552,7.3279,-0.0455000000000001,-0.1615,-0.063,2.93303799460181,7.95239534563853,7.26602482562967,2.30095232699661,1.15200195312334,1.23067054892851,2.80108198737559,10.6769649058148,10.0605031434814,2.18334919332662,1.10475332088209,1.16921512135278,17.0764,3.777,aerobic
0.3147,8.4866,7.3304,0.1381,0.019,-0.024,3.47200128168179,9.63791110608979,7.58441887028927,2.00382841636259,1.2848219072437,1.35977130430084,3.30882905270127,12.4748858511812,10.2716032244241,1.90600815842955,1.21903716104145,1.29021556338466,20.1501,3.8051,aerobic
0.220909090909091,6.86409090909091,5.51872727272727,0.0938181818181818,0.00645454545454545,-0.162545454545455,2.9862767940881,8.5948240523532,6.74474349535858,1.93666661138059,1.11763297764842,1.32196379403041,2.85586000420825,10.6897707646142,8.47421493279895,1.84892096295994,1.0656407803417,1.27088065386315,16.6099090909091,3.46372727272727,aerobic
-0.2389,6.8089,5.4631,0.1288,0.1855,-0.2198,3.76809298805996,8.28472573743057,7.06829147122713,1.98168238289254,1.06781628153494,1.30908023690936,3.5827008666647,10.3987562573608,8.64928502825523,1.88439592442777,1.02986343754888,1.26120339358884,15.8661,3.2829,aerobic
